影片名称,评分,类型,主演,上映日期,图片URL
南海潮,7.1,剧情,吴文华／张铮／高纮,1962,https://p0.pipi.cn/mmdb/d2dad52fe7a87a5015c696f51919a08230639.jpg?imageView2/1/w/218/h/300
马戏之王,暂无评分,纪录片,唐·阿米契／Rudy Cárdenas／Sonny Frankello,1966-09-27,https://p0.pipi.cn/basicdata/54ecded7e7a0e150c83ba3b50284ece44d58b.jpg?imageView2/1/w/218/h/300
西部海口,暂无评分,剧情／纪录片／战争,Captain Duncan MacKenzie／Captain W. Kerr／Eric Baskeyfield,1945-09-21,https://p0.pipi.cn/basicdata/54ecded7e7a0e1be2a0faff7f6641d09a9b14.jpg?imageView2/1/w/218/h/300
羊城暗哨,7.5,惊悚／悬疑,张庆芬／杨蔚如／冯喆,1957-02-01,https://p0.pipi.cn/mmdb/d2dad592b1251bc69667cb1a536d9908d295d.jpg?imageView2/1/w/218/h/300
人猿星球,8.0,科幻／悬疑／冒险,查尔顿·赫斯顿／罗迪·麦克道尔／金·亨特,1968-02-08,https://p0.pipi.cn/mmdb/d2dad52f807b12d23ce5bc641e982c1741d46.jpg?imageView2/1/w/218/h/300
雨中曲,8.7,喜剧／爱情／剧情／歌舞,吉恩·凯利／黛比·雷诺斯／唐纳德·奥-康纳,1952-04-11,https://p0.pipi.cn/mmdb/25bfd6923383383ba38d335458ad43a000928.jpg?imageView2/1/w/218/h/300
西游记,6.4,动画／奇幻／冒险,弗兰基·阿瓦隆／小宫山清／Noriko Shindô,1960-08-14,https://p0.pipi.cn/basicdata/54ecded7e7a0e1f0eeb535ace7918538ce00b.jpg?imageView2/1/w/218/h/300
金鹰,暂无评分,剧情／动作,高远／姜明／朱虹,1964-12-17,https://p0.pipi.cn/mmdb/d2dad592b12b125bf13139ef41f7ebf9bd6d1.jpg?imageView2/1/w/218/h/300
我的外婆,暂无评分,剧情／喜剧,Bella Chernova／E. Ovanov／Mikhail Abesadze,1929,https://p0.pipi.cn/basicdata/54ecded78078d357e2d2363e4d7cf789423f8.jpg?imageView2/1/w/218/h/300
红叶,暂无评分,剧情,Sergei Karnaukhov／Stepan Birillo／Eduards Pavuls,1958-12-08,https://p0.pipi.cn/basicdata/54ecded78070e12ff7537c2f20b5fc8619e16.jpg?imageView2/1/w/218/h/300
歌剧魅影,7.8,剧情／爱情／惊悚／恐怖,玛丽·菲尔宾／诺曼·克里／阿瑟·埃蒙德·卡鲁维,1925-01-07,https://p0.pipi.cn/mmdb/25bfd62fc7e339b8602c95100163c9fce4825.jpg?imageView2/1/w/218/h/300
春草闯堂,暂无评分,剧情／古装／戏曲,,1963,https://p0.pipi.cn/mmdb/d2dad592537807e19b2c95b0449b689908eb4.jpg?imageView2/1/w/218/h/300
713 prosit posadku,暂无评分,惊悚,Vladimir Chestnokov／奥塔尔·科别里泽／Lyudmila Abramova,1962-04-15,https://p0.pipi.cn/basicdata/54ecded7e7a0e1300b16bd39668f5e79d199e.jpg?imageView2/1/w/218/h/300
海蒂,8.1,剧情／家庭,秀兰·邓波儿／琪恩·汉旭特／阿瑟·特雷彻,1937-10-15,https://p0.pipi.cn/mmdb/d2dad592c7e7e139dd87a93cacf3cb6fe08e3.jpg?imageView2/1/w/218/h/300
摩登时代,8.6,剧情／喜剧／爱情,查理·卓别林／宝莲·高黛／切斯特·康克林,1936-02-25,https://p0.pipi.cn/mmdb/d2dad592c7e7e1f0ee395b4e6815b1da366d3.jpg?imageView2/1/w/218/h/300
西游记之孙行者大闹黑风山,暂无评分,剧情／奇幻／古装,陈秋风／董天厄／朱剑灵,1928-01-23,https://p0.pipi.cn/mmdb/d2dad592e7a71fb860b86064459dcb11cc6d4.jpg?imageView2/1/w/218/h/300
西游记之孙悟空大闹天宫,暂无评分,剧情／奇幻,陈秋风／郑瑞年,1927,https://p0.pipi.cn/mmdb/d2dad59206d51bb53587a92f4088113d9e1d9.jpg?imageView2/1/w/218/h/300
罗马假日,9.0,剧情／喜剧／爱情,格利高里·派克／奥黛丽·赫本／埃迪·艾伯特,1953-08-27,https://p0.pipi.cn/mmdb/25bfd6923383383ba30faf44c3c24cd3ceb46.png?imageView2/1/w/218/h/300
世界上最长最没意义的电影,6.9,纪录片／剧情／历史,,1968-08,https://p0.pipi.cn/basicdata/54ecded77e10e13ba351baa2bc208935d7cc0.jpg?imageView2/1/w/218/h/300
百万英镑,7.9,喜剧／爱情,格利高里·派克／乔伊丝·格伦菲尔／布莱恩·福布斯,1954-01-07,https://p0.pipi.cn/mmdb/25bfd6718d3c69b535e7aa8090c162bd2d48e.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
中国共产党第九次全国代表大会在北京隆重开幕,暂无评分,纪录片,,1969,https://p0.pipi.cn/mmdb/d2dad5927e10fad23cb860aa43684662a32f6.jpg?imageView2/1/w/218/h/300
拿破仑,8.9,剧情／传记／历史／战争,阿尔伯特·迪厄多内／Gina Manès／安托南·阿尔托,1927-04-07,https://p0.pipi.cn/basicdata/54ecded78078d306d6ddd29bb8d17566df453.jpg?imageView2/1/w/218/h/300
南京,7.0,纪录片,德川梦声,1938-02-20,https://p0.pipi.cn/basicdata/54ecded77e18d3339e06d6c5647ac5b6c452e.jpg?imageView2/1/w/218/h/300
误杀,暂无评分,剧情,丽特里斯·乔伊／托马斯·梅甘／洛伊斯·威尔逊,1922-09-24,https://p0.pipi.cn/mmdb/d2dad592b123380e13e19be95b5add6e3e8b4.jpg?imageView2/1/w/218/h/300
足球,6.3,纪录片／短片,,1897,https://p0.pipi.cn/basicdata/54ecded70300e1b535be2a2ef2938a377ec24.jpg?imageView2/1/w/218/h/300
