影片名称,评分,类型,主演,上映日期,图片URL
超凡蜘蛛侠2,9.0,动作／冒险／科幻,安德鲁·加菲尔德／艾玛·斯通／杰米·福克斯,2014-05-04,https://p0.pipi.cn/mmdb/d2dad592b125bf230f71f7800502be1f34b9d.jpg?imageView2/1/w/218/h/300
距离,8.3,剧情,井浦新／伊势谷友介／寺岛进,2001-05-26,https://p0.pipi.cn/basicdata/54ecded78070e1b12de5bc7cb4ad4079384dc.jpg?imageView2/1/w/218/h/300
速度与激情7,9.6,动作／惊悚／犯罪,范·迪塞尔／保罗·沃克／道恩·强森,2015-04-12,https://p0.pipi.cn/mmdb/d2dad592b125bf21f08d330ce2e1be71cd73e.webp?imageView2/1/w/218/h/300
暴风,8.2,剧情／动作／悬疑,陈伟霆／王千源／王龙正,2023-04-14 18:00,https://p0.pipi.cn/mmdb/fb73860202f5bf16bd50c8ad1fb8c34d00c50.jpg?imageView2/1/w/218/h/300
青蛇,8.6,剧情／爱情／奇幻／古装,张曼玉／赵文卓／王祖贤,1993-11-04,https://p0.pipi.cn/mmdb/25bfd692338338be1217896fe6c55004a1c2c.png?imageView2/1/w/218/h/300
新·奥特曼,6.6,科幻,津田健次郎／斋藤工／长泽雅美,2022-05-13,https://p0.pipi.cn/mmdb/25bfd69ac7e51baf33e7aa357b4d497b6145d.jpg?imageView2/1/w/218/h/300
美国队长3,8.6,动作／冒险／科幻,克里斯·埃文斯／小罗伯特·唐尼／斯嘉丽·约翰逊,2016-05-06,https://p0.pipi.cn/mmdb/d2dad592b12f2a7e128d3386b270923a93a3e.jpg?imageView2/1/w/218/h/300
飞行员,暂无评分,喜剧,曹政奭／申升浩／李珠明,2024-07-31,https://p0.pipi.cn/basicdata/54ecded7c690e1cf3ed23c426de57d900da3a.jpg?imageView2/1/w/218/h/300
变形金刚2,8.6,动作／科幻,希亚·拉博夫／梅根·福克斯／乔什·杜哈明,2009-06-24,https://p0.pipi.cn/mmdb/d2dad592b12923be12ddd2f1c925e61d10159.jpg?imageView2/1/w/218/h/300
剧场版 怪化猫,暂无评分,动画／悬疑／奇幻,神谷浩史／樱井孝宏／黑泽朋世,2024-07-26,https://p0.pipi.cn/basicdata/54ecde3380702f5bf171f7b28b4e648e96c9e.jpg?imageView2/1/w/218/h/300
我想吃掉你的胰脏,8.7,剧情／爱情／动画,高杉真宙／Lynn／三木真一郎,2019-01-18,https://p0.pipi.cn/mmdb/d2dad5925370fa1789d236351aa727b16042f.jpg?imageView2/1/w/218/h/300
疯狂的外星人,8.5,剧情／喜剧／科幻,黄渤／沈腾／马修·莫里森,2019-02-05,https://p0.pipi.cn/mmdb/d2dad5927e10fa7a35f2aad571b45b97723ad.jpg?imageView2/1/w/218/h/300
椒麻堂会,8.0,剧情,易思成／陈浩宇／关南,2021-08-13,https://p0.pipi.cn/basicdata/54ecded706d8d30fafbe2a0cb208046704245.jpg?imageView2/1/w/218/h/300
扫毒3：人在天涯,8.8,动作／犯罪／剧情,古天乐／郭富城／刘青云,2023-07-06 18:00,https://p0.pipi.cn/mmdb/fb7386718eaf2a7df516bd1ef3331075e5510.jpg?imageView2/1/w/218/h/300
釜山行,8.9,动作／惊悚／灾难,孔刘／郑裕美／马东锡,2016-07-20,https://p0.pipi.cn/mmdb/d2dad5927e10fa7e12c9fda9269c5f56db8bc.jpg?imageView2/1/w/218/h/300
长城,8.4,剧情／冒险／奇幻,马特·达蒙／景甜／佩德罗·帕斯卡,2016-12-16,https://p0.pipi.cn/mmdb/d2dad592b12f2a7e12030c11ea83ecdd70f19.jpg?imageView2/1/w/218/h/300
小丑,5.8,剧情／恐怖,伊莱·罗斯／彼得·斯特曼／劳拉·爱伦,2016-06-17,https://p0.pipi.cn/mmdb/d2dad592b12f2a39dd3ba30b82e61d581544d.jpg?imageView2/1/w/218/h/300
西游伏妖篇,7.7,喜剧／动作／奇幻,林更新／姚晨／林允,2017-01-28,https://p0.pipi.cn/mmdb/d2dad592b12f2aecd8338fdbdfbd1992cc9ec.jpg?imageView2/1/w/218/h/300
大闹天宫,8.4,动画,李扬／陈道明／姚晨,2012-01-11,https://p0.pipi.cn/mmdb/d2dad592c7e7e1537c9257c902e86c915374e.jpg?imageView2/1/w/218/h/300
白蛇,暂无评分,剧情,,,https://p0.pipi.cn/mmdb/d2dad5925372ff2ff78d337da9dfcc4826bf3.jpg?imageView2/1/w/218/h/300
小孩不笨,8.0,剧情／喜剧,梁志强／陈美廪／陈建彬,2004-05-14,https://p0.pipi.cn/mmdb/d2dad592c7e7e121f02c95ed08c33ce0f6ef9.jpg?imageView2/1/w/218/h/300
大突围,暂无评分,战争／青春／动作,任天野／敖子逸／艾米,,https://p0.pipi.cn/mmdb/fb7386dd8ea51bf0ee537cec7beb340b474cb.jpg?imageView2/1/w/218/h/300
姜子牙,8.3,动画／动作／冒险,郑希／杨凝／图特哈蒙,2020-10-01 08:00,https://p0.pipi.cn/mmdb/d2dad592537923f0ee3ba3d1e6deb7a045228.jpg?imageView2/1/w/218/h/300
蝙蝠侠：黑暗骑士,9.3,剧情／动作／科幻／惊悚,克里斯蒂安·贝尔／希斯·莱杰／阿伦·伊克哈特,2008-07-14,https://p0.pipi.cn/mmdb/d2dad592c7e7e111e55bf165a69f4403a0815.jpg?imageView2/1/w/218/h/300
迷你世界之觉醒,8.5,动画／奇幻／冒险,何春／花信／万宝鹿,2022-07-30 08:00,https://p0.pipi.cn/mmdb/fb7386028ea923cf3eb535f0778a921056021.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
超能一家人,8.0,喜剧／家庭／奇幻,艾伦／沈腾／陶慧,2023-07-21 09:00,https://p0.pipi.cn/mmdb/fb7386d7e7a3388ea317896823451c50744eb.jpg?imageView2/1/w/218/h/300
藤井风Love All Serve All 体育场演唱会,暂无评分,,,2023-03-10,https://p0.pipi.cn/basicdata/54ecded7c690e116bdcf3e2fe6f6a0677c1a0.jpg?imageView2/1/w/218/h/300
咒术回战 0,8.7,动画,绪方惠美／花泽香菜／小松未可子,2021-12-24,https://p0.pipi.cn/basicdata/54ecded7c698d3c69667cb7dd3ec94a15760d.jpg?imageView2/1/w/218/h/300
这个杀手不太冷静,9.1,喜剧,马丽／魏翔／陈明昊,2022-02-01 08:00,https://p0.pipi.cn/mmdb/fb7386028ea51b5bf1501574f504728cc3d96.jpg?imageView2/1/w/218/h/300
2021年中国电影博物馆国际电影展映 ——俄罗斯电影展,暂无评分,,,,https://p0.pipi.cn/mmdb/25bfd6022ff51b17897df5a999d8ff5294e47.jpg?imageView2/1/w/218/h/300
熊出没之过年,6.7,动画,张伟／辛媛／万丹青,2013-02-08,https://p0.pipi.cn/mmdb/d2dad59206df2ac69602ff7e5e6785d2c1e11.jpg?imageView2/1/w/218/h/300
想见你,8.7,爱情／悬疑／奇幻,柯佳嬿／许光汉／施柏宇,2022-12-24 09:00,https://p0.pipi.cn/mmdb/fb7386028ea51b50c8230ff6a0eb7f056ac2a.jpg?imageView2/1/w/218/h/300
雷神4：爱与雷霆,5.8,动作／奇幻／冒险／喜剧,克里斯·海姆斯沃斯／娜塔莉·波特曼／克里斯蒂安·贝尔,2022-07-06,https://p0.pipi.cn/mmdb/25bfd6870302ff11e55bf1d33ab63ee3660d2.jpg?imageView2/1/w/218/h/300
朝云暮雨,暂无评分,剧情／家庭／犯罪,范伟／周冬雨／宋佳,2024-05-17 18:00,https://p0.pipi.cn/mmdb/54ecde87c7e92350c80e13ffadc0e4f69f895.jpg?imageView2/1/w/218/h/300
熊出没之夺宝熊兵,9.1,动画／喜剧／冒险,张伟／谭笑／熊二,2014-01-17,https://p0.pipi.cn/mmdb/d2dad592b125bf230f71f71e593eced4055d8.jpg?imageView2/1/w/218/h/300
钢铁侠4,暂无评分,剧情／动作／科幻,小罗伯特·唐尼,,https://p0.pipi.cn/mmdb/d2dad5927e10fad2360e131a6abff1dcca83c.jpg?imageView2/1/w/218/h/300
海贼王特别篇：强者世界前传,8.2,动画,竹中直人／大冢周夫／池田秀一,2010,https://p0.pipi.cn/basicdata/54ecded77e10e1281e281eb3dd94260a2047d.jpg?imageView2/1/w/218/h/300
猩球崛起,8.6,剧情／动作／科幻,安迪·瑟金斯／詹姆斯·弗兰科／芙蕾达·平托,2011-10-28,https://p0.pipi.cn/mmdb/54ecde0251b92321f057e245cd43c8301aa3c.jpg?imageView2/1/w/218/h/300
进击的巨人,6.4,动作／科幻／惊悚／冒险,,2015-08-01,https://p0.pipi.cn/basicdata/54ecded7e7a0e1ecd88d336cb2439afdb85d1.jpg?imageView2/1/w/218/h/300
爱，在一起,6.0,爱情,姚笛／赵又廷／苏打绿,2014-09-19,https://p0.pipi.cn/mmdb/d2dad592b125bfaf338d33eff99a969775bc0.jpg?imageView2/1/w/218/h/300
无双,8.9,动作／惊悚／犯罪,周润发／郭富城／张静初,2018-09-30,https://p0.pipi.cn/mmdb/d2dad5927e10fa5bf116bdcf65dec25b06615.jpg?imageView2/1/w/218/h/300
KPL 701112078,暂无评分,,,,https://p0.pipi.cn/mmdb/d2dad5920303390faf50c8f5cf99047acd630.jpg?imageView2/1/w/218/h/300
奇异博士2：疯狂多元宇宙,6.6,动作／科幻／恐怖／奇幻,本尼迪克特·康伯巴奇／伊丽莎白·奥尔森／切瓦特·埃加福特,2022-05-06,https://p0.pipi.cn/mmdb/25bfd6be5bfdddb860537c2c93376b6500835.jpg?imageView2/1/w/218/h/300
猩球崛起3：终极之战,8.2,动作／冒险／剧情,安迪·瑟金斯／伍迪·哈里森／斯蒂夫·扎恩,2017-09-15,https://p0.pipi.cn/mmdb/54ecde0251b923230f0fafe653b20fd9fb90e.jpg?imageView2/1/w/218/h/300
白日之下,8.4,剧情／犯罪,姜大卫／余香凝／林保怡,2024-04-12 18:00,https://p0.pipi.cn/mmdb/54ecde9a2c9dddc9fd51ba1648995790d85b1.jpg?imageView2/1/w/218/h/300
头文字D,8.4,剧情／动作,周杰伦／铃木杏／陈冠希,2005-06-23,https://p0.pipi.cn/mmdb/d2dad592b12338230fddd2a32e80f91f02988.jpg?imageView2/1/w/218/h/300
指环王：护戒使者,9.1,剧情／动作／奇幻／冒险,伊莱贾·伍德／伊恩·麦克莱恩／肖恩·奥斯汀,2002-04-04,https://p0.pipi.cn/mmdb/d2dad592c7e7e1ecd8230f8fd92bf9d4c93b3.png?imageView2/1/w/218/h/300
名侦探柯南：业火的向日葵,8.0,动画／悬疑／冒险,高山南／山崎和佳奈／小山力也,2015-10-23,https://p0.pipi.cn/mmdb/d2dad592b12f2aecd8b860f24714d7aab3158.jpg?imageView2/1/w/218/h/300
蜘蛛侠：莲,暂无评分,动作／奇幻,保罗·罗根／沃登·韦恩,2023-08-12,https://p0.pipi.cn/basicdata/54ecded7c690e1178902fff4910becf26a581.jpg?imageView2/1/w/218/h/300
四海,8.6,剧情／爱情／喜剧,刘昊然／刘浩存／沈腾,2022-02-01 08:00,https://p0.pipi.cn/mmdb/25bfd68d030ddd395bbe2ab4b3a40c81f0f19.jpg?imageView2/1/w/218/h/300
阿甘正传,9.4,剧情／爱情,汤姆·汉克斯／罗宾·怀特／加里·西尼斯,1994-07-06,https://p0.pipi.cn/mmdb/d2dad592c7e7e1cbaeb53576d1b09602884b4.jpg?imageView2/1/w/218/h/300
蜡笔小新：好别致的影分身,7.7,动画,小林由美子／楢桥 美纪／森川智之,2022-04-22,https://p0.pipi.cn/mmdb/fb7386718d3c7ec696d7c3c2a8241b7b64a50.jpg?imageView2/1/w/218/h/300
龙猫,9.2,动画／冒险／奇幻／家庭,秦岚／糸井重里／岛本须美,2018-12-14,https://p0.pipi.cn/mmdb/d2dad592c7e7e17a3557e2d019edaa30f2b78.jpg?imageView2/1/w/218/h/300
狗神,9.1,犯罪／剧情,卡莱伯·兰德里·琼斯／克里斯托弗·邓汉／马里莎·贝伦森,2023-12-15 18:00,https://p0.pipi.cn/mmdb/fb73862f3390fac9fd9ab496a1c188f110b4f.jpg?imageView2/1/w/218/h/300
京剧猫：霸王折,暂无评分,动画／冒险,杨鸥／李正翔／孟祥龙,,https://p0.pipi.cn/basicdata/54ecded706d0e15015395b9f7a746f269b14c.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
X战警：逆转未来,9.0,剧情／动作／科幻／冒险,休·杰克曼／詹姆斯·麦卡沃伊／迈克尔·法斯宾德,2014-05-23,https://p0.pipi.cn/mmdb/d2dad592b125bfe5bcb53593cbd4591542cc7.jpg?imageView2/1/w/218/h/300
剧场版魔法少女小圆 瓦尔普吉斯的回天,暂无评分,动画／动漫,悠木碧／斋藤千和／加藤英美里,,https://p0.pipi.cn/basicdata/54ecded7c698d35bf1cf3eba27e1623eec42f.jpg?imageView2/1/w/218/h/300
银河护卫队3,9.2,动作／科幻／冒险,克里斯·帕拉特／佐伊·索尔达娜／戴夫·巴蒂斯塔,2023-05-05,https://p0.pipi.cn/mmdb/fb738671be151b8ea3d236ee9a5ea5392606f.jpg?imageView2/1/w/218/h/300
坏蛋联盟,9.1,喜剧／动画／动作,山姆·洛克威尔／秦昊／奥卡菲娜,2022-04-29,https://p0.pipi.cn/mmdb/25bfd692d7c5bf7e1280775547a567aa41341.jpg?imageView2/1/w/218/h/300
我的非凡父母,8.8,剧情／家庭,惠英红／陈贝儿／吴千语,2022-09-02 09:00,https://p0.pipi.cn/mmdb/fb7386028ea0fac9fd7e1266ee069cc31472b.jpg?imageView2/1/w/218/h/300
毗湿奴降临,暂无评分,动作／科幻／奇幻／冒险,迪皮卡·帕度柯妮／阿米达普·巴强／帕拉巴斯,2024-06-27,https://p0.pipi.cn/mmdb/54ecded78d3ddd281ecbae483cdc4f04d64c3.jpg?imageView2/1/w/218/h/300
恐怖电影院2,4.9,恐怖／惊悚,殷果儿／刘小奇／闫薇儿,2017-10-19,https://p0.pipi.cn/mmdb/d2dad5927e10fa80772c95d95a9fca7b19c77.jpg?imageView2/1/w/218/h/300
你的名字,暂无评分,剧情,洛特·弗贝克／Ferry Asselbergs／Anneke Sluiters,2014-10-09,https://p0.pipi.cn/basicdata/54ecded77e10e1c696ecd8a6825f9b89d74ec.jpg?imageView2/1/w/218/h/300
白蛇：渡情,暂无评分,爱情／奇幻,,,https://p0.pipi.cn/mmdb/d2dad5927a35bf87a9e5bca5ea2dda88735c8.jpg?imageView2/1/w/218/h/300
机动战士高达 闪光的哈萨维 剧场版1,7.5,剧情／科幻／动画／战争,小野贤章／上田丽奈／诹访部顺一,2021-06-11,https://p0.pipi.cn/basicdata/54ecded7e7a8d3d23c87a94a808b658f88cda.jpg?imageView2/1/w/218/h/300
熊出没·变形记,9.1,动画／喜剧／冒险,张伟／光头强／熊二,2018-02-16,https://p0.pipi.cn/mmdb/d2dad59253792350157e12e0b2fac8e67948c.jpg?imageView2/1/w/218/h/300
复仇者联盟2：奥创纪元,8.6,科幻／动作／冒险,小罗伯特·唐尼／克里斯·海姆斯沃斯／马克·鲁法洛,2015-05-12,https://p0.pipi.cn/mmdb/d2dad592b125bf21f03ba3191e822904477fd.jpg?imageView2/1/w/218/h/300
驯龙高手3,9.0,动画／动作／冒险,杰伊·巴鲁切尔／刘昊然／亚美莉卡·费雷拉,2019-03-01,https://p0.pipi.cn/mmdb/d2dad592b12f2a030cb12ddb56a6e4d1e83d1.jpg?imageView2/1/w/218/h/300
开学悸,3.6,惊悚／悬疑,秦语／曾淇／赵艺,2018-11-09,https://p0.pipi.cn/mmdb/d2dad59253751b21f0338f31b84e541e3acb1.jpg?imageView2/1/w/218/h/300
TME live 林宥嘉 “XIANG YU YI YANG” 线上演唱会,暂无评分,音乐／真人秀,林宥嘉,,https://p0.pipi.cn/basicdata/54ecded7c690e1cf3e501586d57d346ad473d.jpg?imageView2/1/w/218/h/300
速度与激情：特别行动,8.7,动作／惊悚／犯罪,道恩·强森／杰森·斯坦森／伊德瑞斯·艾尔巴,2019-08-23,https://p0.pipi.cn/mmdb/d2dad5925372ffbe1271f7547afdfa50e9452.jpg?imageView2/1/w/218/h/300
暗黒神話 餓鬼の章／天の章,暂无评分,恐怖,佐佐木望／速水奖／鹤弘美,1990,https://p0.pipi.cn/basicdata/54ecded7e7a8d3d23621f0b61b55a92f8c3a9.jpg?imageView2/1/w/218/h/300
当幸福来敲门,9.3,剧情／家庭／传记,威尔·史密斯／贾登·史密斯／坦迪·牛顿,2008-01-17,https://p0.pipi.cn/mmdb/d2dad592c7e7e111e51789a5566c623326832.jpg?imageView2/1/w/218/h/300
生化危机4D：执行者,6.3,恐怖／短片,相泽正辉／日野由利加／Hideto Erihara,2000,https://p0.pipi.cn/basicdata/54ecded77e18d306d6b5357476c929d834a88.jpg?imageView2/1/w/218/h/300
西游·降魔篇,8.4,喜剧／奇幻／冒险,文章／舒淇／罗志祥,2013-02-10,https://p0.pipi.cn/mmdb/d2dad592b125bf39dd2ff794db1ac7c38b26f.jpg?imageView2/1/w/218/h/300
非诚勿扰3,8.9,喜剧／爱情,葛优／舒淇／范伟,2023-12-30 10:00,https://p0.pipi.cn/mmdb/fb73862fc695bf925716bdced691878d22ee3.jpg?imageView2/1/w/218/h/300
不要走散好不好,暂无评分,爱情／青春,徐若晗／张开泰／秦奋,2023-12-01 13:14,https://p0.pipi.cn/mmdb/fb73862fbe17e1c7edc7ed632764b83b59eb6.png?imageView2/1/w/218/h/300
宝贝老板2,6.3,动画／喜剧／家庭,亚历克·鲍德温／詹姆斯·麦斯登／艾米·塞德丽丝,2021-07-02,https://p0.pipi.cn/mmdb/d2dad59253751b21f0537c5645bd2d28951ed.jpg?imageView2/1/w/218/h/300
魁拔4,暂无评分,,,,https://p0.pipi.cn/mmdb/d2dad5927a30fa0e1316bd23c5725dbeee7b1.jpg?imageView2/1/w/218/h/300
异形大战铁血战士：救赎,5.3,动作／科幻／短片,,2010-05-07,https://p0.pipi.cn/mmdb/d2dad59203080711e506d62e65c39265d89eb.jpg?imageView2/1/w/218/h/300
七三一,8.8,纪录片,Todd 1／任金勇／李小龙,2015-08-31,https://p0.pipi.cn/mmdb/d2dad59206d2ff537c7df5c74dbc4fc45825f.jpg?imageView2/1/w/218/h/300
黑街神话,暂无评分,剧情／动作,Brihanna Hernandez／Victor Larios／Greg Leone,2003-01-17,https://p0.pipi.cn/basicdata/54ecded7e7a0e1af3339dda1a894abbb5d173.jpg?imageView2/1/w/218/h/300
不要忘记我爱你,7.7,爱情／剧情,韩东儿／古力娜扎／刘以豪,2022-02-14 09:00,https://p0.pipi.cn/mmdb/fb7386028ea923b53521f06e4fc869df053e6.jpg?imageView2/1/w/218/h/300
白日梦想家,8.5,剧情／喜剧／冒险,本·斯蒂勒／克里斯汀·韦格／亚当·斯科特,2013-12-25,https://p0.pipi.cn/mmdb/d2dad592b125bf925757e26d43fef57d2eca4.jpg?imageView2/1/w/218/h/300
钢铁侠,8.4,动作／科幻／惊悚／冒险,小罗伯特·唐尼／泰伦斯·霍华德／格温妮斯·帕特洛,2008-04-30,https://p0.pipi.cn/mmdb/d2dad592b12338281ee5bca92ae821feb64bd.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
再会长江,9.5,纪录片,竹内亮,2024-05-24,https://p0.pipi.cn/mmdb/54ecde875bfb122ff70e13d2ab8d920f3e9bc.jpg?imageView2/1/w/218/h/300
海底两万里,7.1,剧情／科幻／家庭／冒险,柯克·道格拉斯／詹姆斯·梅森／保罗·卢卡斯,1954-12-23,https://p0.pipi.cn/mmdb/d2dad592b1251b7e12f0ee08011bd802ee443.jpg?imageView2/1/w/218/h/300
楚门的世界 4K,8.9,剧情／科幻,金·凯瑞／劳拉·琳妮／诺亚·艾默里奇,1998-06-01,https://p0.pipi.cn/mmdb/54ecde3311ec7ed236313952587c9dacfce00.jpg?imageView2/1/w/218/h/300
转念花开,暂无评分,剧情／犯罪,贾玲／张小斐／杨紫,,https://p0.pipi.cn/mmdb/fb738651ecd2ff339ef0ee5ba4043ce0698f7.jpg?imageView2/1/w/218/h/300
喜羊羊与灰太狼大电影8,暂无评分,动画,喜羊羊／灰太狼／祖晴,,https://p0.pipi.cn/basicdata/54ecded70308d351ba11e5d0ec042cc5dae0b.jpg?imageView2/1/w/218/h/300
加勒比海盗,8.9,动作／冒险／魔幻,约翰尼·德普／凯拉·奈特莉／奥兰多·布鲁姆,2003-11-21,https://p0.pipi.cn/mmdb/d2dad592c7e7e116bd5bf10722fd397a2c865.jpg?imageView2/1/w/218/h/300
速度与激情8,9.3,动作／惊悚／犯罪,范·迪塞尔／杰森·斯坦森／道恩·强森,2017-04-14,https://p0.pipi.cn/mmdb/d2dad533c7ec6911e57e12d453702e8ec6e1f?imageView2/1/w/218/h/300
猫,8.8,音乐,伊莲·佩姬 ／约翰·米尔斯／肯·帕吉,1998-10-05,https://p0.pipi.cn/mmdb/d2dad592b1233817897e12e862005ec493669.jpg?imageView2/1/w/218/h/300
风流一代,暂无评分,剧情,赵涛／李竺斌／潘剑林,2024-05-18,https://p0.pipi.cn/mmdb/54ecde02338923178939dd0ae2acf22eb46fa.jpg?imageView2/1/w/218/h/300
BLACKPINK：大电影,7.3,纪录片／音乐,金智秀／金珍妮／朴彩英,2021-08-04,https://p0.pipi.cn/basicdata/54ecded7c698d32c95925729016ce12dcd7c8.jpg?imageView2/1/w/218/h/300
疯狂的麦克斯4：狂暴之路,8.8,动作／科幻／冒险,汤姆·哈迪／查理兹·塞隆／尼古拉斯·霍尔特,2015-05-07,https://p0.pipi.cn/mmdb/d2dad592b125bf230f51ba8a6222fb00a9fc3.jpg?imageView2/1/w/218/h/300
喜剧之王,9.0,剧情／喜剧／爱情,周星驰／莫文蔚／张柏芝,1999-02-13,https://p0.pipi.cn/mmdb/d2dad592c7e7e1c9fdcf3e8167ee5ac44330a.jpg?imageView2/1/w/218/h/300
通往春天的列车,7.4,剧情／悬疑,李岷城／任素汐／何巍然,2020-09-17,https://p0.pipi.cn/mmdb/d2dad5925372ff030c2ff71a66f8b7361fe6f.jpg?imageView2/1/w/218/h/300
功夫2,暂无评分,喜剧／动作,周星驰,2022,https://p0.pipi.cn/mmdb/d2dad592b12f2a51ba21f012efbefe2614efe.jpg?imageView2/1/w/218/h/300
逃脱,暂无评分,动作,李帝勋／具教焕／洪萨宾,2024-07-03,https://p0.pipi.cn/mmdb/fb7386bef2a338d23c7e12c82f1dcc6ec5b13.png?imageView2/1/w/218/h/300
我的姐姐,8.8,剧情／家庭,张子枫／肖央／朱媛媛,2021-04-02 18:00,https://p0.pipi.cn/mmdb/d2dad5925372ff57e2af33c38b2344141b1db.jpg?imageView2/1/w/218/h/300
速度与激情6,9.3,动作,范·迪塞尔／保罗·沃克／道恩·强森,2013-07-26,https://p0.pipi.cn/mmdb/d2dad592b125bf39ddc9fd08cc155d0ccf19f.jpg?imageView2/1/w/218/h/300
追缉,7.0,悬疑／犯罪,张钧甯／阮经天／游安顺,2023-11-11 09:00,https://p0.pipi.cn/mmdb/fb73869271f2ff7a35ddd2fff6acdb503cf40.jpg?imageView2/1/w/218/h/300
茶啊二中2,暂无评分,喜剧／动画,,,https://p0.pipi.cn/basicdata/54ecded7c698d3ddd2cbae4c3a736f68659bb.jpg?imageView2/1/w/218/h/300
银河补习班,9.4,剧情／家庭,邓超／白宇／任素汐,2019-07-18,https://p0.pipi.cn/mmdb/d2dad5925370fad7c3d23c9d7314118180225.jpg?imageView2/1/w/218/h/300
剧场总集篇 『孤独摇滚！』 Re:,暂无评分,动画／音乐,青山吉能／铃代纱弓／水野朔,2024-06-07,https://p0.pipi.cn/basicdata/54ecde3302f8d351ba9235c6c0ec0e5eb2a6b.jpg?imageView2/1/w/218/h/300
绿皮书,9.5,剧情／喜剧／传记,维果·莫腾森／马赫沙拉·阿里／琳达·卡德里尼,2019-03-01,https://p0.pipi.cn/mmdb/d2dad59253751b230f21f0818a5bfd4d8679c.jpg?imageView2/1/w/218/h/300
超级幼儿园,6.9,动画,丁妍／王雪沁／孙科,2016-12-31,https://p0.pipi.cn/mmdb/d2dad592030807ecd8cf3ea5541ad081df674.webp?imageView2/1/w/218/h/300
抓娃娃攻略,暂无评分,,,,https://p0.pipi.cn/mmdb/d2dad5927a39ab230fd2368f54be45b822f2c.jpg?imageView2/1/w/218/h/300
摇滚莫扎特,9.0,歌舞,梅丽莎·玛斯／迪亚娜·达西妮／米开朗琪罗·勒孔特,2011-11-25,https://p0.pipi.cn/mmdb/d2dad59206db1287a92c951d775ae85d4a3a9.jpg?imageView2/1/w/218/h/300
蜘蛛侠：平行宇宙,8.8,动画／动作／科幻,沙梅克·摩尔／彭昱畅／杰克·M·约翰森,2018-12-21,https://p0.pipi.cn/mmdb/d2dad592537923b860ecd8f6267d3fd221d05.jpg?imageView2/1/w/218/h/300
我，就是风!,暂无评分,励志／成长,张家城／周楚濋／小爱,2024-05-28,https://p0.pipi.cn/mmdb/54ecde872c9b123139f0ee7abf35f1245c22d.jpg?imageView2/1/w/218/h/300
坠落的审判,9.0,剧情／家庭,桑德拉·惠勒／斯万·阿劳德／米洛·马查多·格拉内尔,2024-03-29 18:00,https://p0.pipi.cn/mmdb/54ecde9a338ddde19b9ab45a0811cc2615695.jpg?imageView2/1/w/218/h/300
杨戬,暂无评分,动画／奇幻,殷玉麒,,https://p0.pipi.cn/mmdb/d2dad5927a30e1b53516bd4ca1aeefd51a9d8.jpg?imageView2/1/w/218/h/300
驯龙高手,9.0,喜剧／动画／奇幻／冒险,杰伊·巴鲁切尔／杰拉德·巴特勒／亚美莉卡·费雷拉,2010-05-14,https://p0.pipi.cn/mmdb/d2dad592c7e7e1b535300b7442907b6f877ab.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
爸爸是外星人,暂无评分,家庭／喜剧／剧情,贾冰／左小青／萌儿,2024-06-15 09:00,https://p0.pipi.cn/mmdb/54ecde71338ddd030c16bd437954b0ab524ba.jpg?imageView2/1/w/218/h/300
情书,8.9,剧情／爱情,中山美穗／丰川悦司／酒井美纪,1999-03-01,https://p0.pipi.cn/basicdata/54ecded77e19237a35ecd8e75a9e7f90c5bf9.jpg?imageView2/1/w/218/h/300
Bruno Mars: 24K Magic Live at the Apollo,8.9,纪录片／音乐,布鲁诺·马尔斯,2017-11-29,https://p0.pipi.cn/basicdata/54ecded7e7a0e12ff767cbbf9b8ca79600090.jpg?imageView2/1/w/218/h/300
神偷奶爸2,9.3,喜剧／动画／冒险,史蒂夫·卡瑞尔／邓超／克里斯汀·韦格,2014-01-10,https://p0.pipi.cn/mmdb/54ecded72ff33806d6d23ca5b149bb17415c0.jpg?imageView2/1/w/218/h/300
猎鬼姐妹,4.9,惊悚／恐怖／奇幻,普洛伊尤孔·罗贾纳卡塔尼奥／纳纳帕斯·洛特纳姆乔特萨昆／芮塔·彭安,2019-04-04,https://p0.pipi.cn/basicdata/54ecded706d8d3d236395b7af597fdcb22236.jpg?imageView2/1/w/218/h/300
名侦探柯南 灼热的银河铁道,暂无评分,剧情／动画,高山南／山崎和佳奈／小山力也,2020-02-01,https://p0.pipi.cn/basicdata/54ecded7c698d3b535f0ee19b6aabc8c0ebb3.jpg?imageView2/1/w/218/h/300
海上钢琴师,9.3,剧情／音乐,蒂姆·罗斯／比尔·努恩 ／克兰伦斯·威廉姆斯三世,2019-11-15,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2365bf1b63cd25951b722b.jpg?imageView2/1/w/218/h/300
烈火英雄,9.4,灾难／动作／剧情,黄晓明／杜江／谭卓,2019-08-01,https://p0.pipi.cn/mmdb/d2dad5925375bf9ab4c7edce63fcebde3bca1.jpg?imageView2/1/w/218/h/300
